Row,Column,Assay,Sample,Conc,Ct,Tm,Efficiency,Flags
6,1,AY29,14A-rep2,-1,27.13,86.45,1.88,
15,19,AY29,14A-rep3,-1,30.4,85.35,1.83,"CtIsLarge, MultipleMeltPeaks"
24,37,AY29,15A-rep1,-1,28.33,87.54,1.82,MultipleMeltPeaks
33,55,AY29,15A-rep2,-1,27.17,77.65,1.8,MultipleMeltPeaks
7,1,AY29,15A-rep3,-1,28.29,92.23,1.87,MultipleMeltPeaks
16,19,AY29,16A-rep1,-1,32.47,90.52,1.75,"LowEfficiency, CtIsLarge"
25,37,AY29,16A-rep2,-1,31.81,89.39,1.82,CtIsLarge
34,55,AY29,16A-rep3,-1,34.99,89.92,1.7,"LowEfficiency, CtIsLarge, MultipleMeltPeaks"
40,1,AY29,17A-rep1,-1,26.54,87.73,1.93,
49,19,AY29,17A-rep2,-1,26.52,89.2,1.91,
58,37,AY29,17A-rep3,-1,27.7,91.88,1.86,MultipleMeltPeaks
67,55,AY29,18A-rep1,-1,28.58,92.22,1.79,LowEfficiency
41,1,AY29,18A-rep2,-1,26.45,90.15,1.91,MultipleMeltPeaks
50,19,AY29,18A-rep3,-1,26.47,78.3,1.85,MultipleMeltPeaks
59,37,AY29,19A-rep1,-1,28.4,89.2,1.87,MultipleMeltPeaks
68,55,AY29,19A-rep2,-1,26.14,77.75,1.9,MultipleMeltPeaks
42,1,AY29,19A-rep3,-1,27.59,86.1,1.9,MultipleMeltPeaks
51,19,AY29,20A-rep1,-1,31.35,85.63,1.71,"LowEfficiency, CtIsLarge, MultipleMeltPeaks"
60,37,AY29,20A-rep2,-1,29.19,90.26,1.75,LowEfficiency
69,55,AY29,20A-rep3,-1,27.02,78.13,1.92,MultipleMeltPeaks
43,1,AY29,21A-rep1,-1,26.54,91.2,1.9,
52,19,AY29,21A-rep2,-1,26.38,89.54,1.86,MultipleMeltPeaks
61,37,AY29,21A-rep3,-1,26.92,90.23,1.87,
70,55,AY29,22A-rep1,-1,26.42,88.41,1.95,MultipleMeltPeaks
8,1,AY29,22A-rep2,-1,26.29,90.85,1.87,
17,19,AY29,22A-rep3,-1,26.9,89.51,1.86,MultipleMeltPeaks
26,37,AY29,23A-rep1,-1,28.46,77.89,1.81,MultipleMeltPeaks
35,55,AY29,23A-rep2,-1,27.06,77.41,1.85,MultipleMeltPeaks
44,1,AY29,23A-rep3,-1,30.68,90.42,1.85,"CtIsLarge, MultipleMeltPeaks"
53,19,AY29,24A-rep1,-1,27.13,90.26,1.84,
62,37,AY29,24A-rep2,-1,30.87,90.23,1.79,"LowEfficiency, CtIsLarge"
71,55,AY29,24A-rep3,-1,28.59,83.74,1.86,MultipleMeltPeaks
0,37,AY37,1A-rep1,-1,22.2,86.11,1.84,
9,55,AY37,1A-rep2,-1,22.65,86.02,1.86,MultipleMeltPeaks
18,1,AY37,1A-rep3,-1,22.33,89.81,1.87,MultipleMeltPeaks
27,19,AY37,2A-rep1,-1,22.05,89.3,1.87,MultipleMeltPeaks
1,37,AY37,2A-rep2,-1,21.62,87.34,1.86,
10,55,AY37,2A-rep3,-1,21.94,90.88,1.86,MultipleMeltPeaks
19,1,AY37,3A-rep1,-1,21.92,89.26,1.92,MultipleMeltPeaks
28,19,AY37,3A-rep2,-1,22.48,86.19,1.88,MultipleMeltPeaks
2,37,AY37,3A-rep3,-1,22.32,88.4,1.86,MultipleMeltPeaks
11,55,AY37,4A-rep1,-1,22.12,86.15,1.87,MultipleMeltPeaks
20,1,AY37,4A-rep2,-1,21.77,89.45,1.85,MultipleMeltPeaks
29,19,AY37,4A-rep3,-1,21.82,86.08,1.86,MultipleMeltPeaks
3,37,AY37,5A-rep1,-1,22.27,88.72,1.86,MultipleMeltPeaks
12,55,AY37,5A-rep2,-1,22.56,88.44,1.86,MultipleMeltPeaks
21,1,AY37,5A-rep3,-1,22.37,88.83,1.85,MultipleMeltPeaks
30,19,AY37,6A-rep1,-1,21.5,90.87,1.88,MultipleMeltPeaks
36,37,AY37,6A-rep2,-1,21.55,85.91,1.86,MultipleMeltPeaks
45,55,AY37,6A-rep3,-1,21.43,85.97,1.87,MultipleMeltPeaks
54,1,AY37,7A-rep1,-1,22.3,89.44,1.67,"LowEfficiency, MultipleMeltPeaks"
63,19,AY37,7A-rep2,-1,23.52,89.38,1.9,
37,37,AY37,7A-rep3,-1,23.19,88.98,1.89,
46,55,AY37,8A-rep1,-1,22.31,86.07,1.89,MultipleMeltPeaks
55,1,AY37,8A-rep2,-1,22.01,89.49,1.95,MultipleMeltPeaks
64,19,AY37,8A-rep3,-1,22.09,86.16,1.9,MultipleMeltPeaks
38,37,AY37,9A-rep1,-1,22.71,86.11,1.88,MultipleMeltPeaks
47,55,AY37,9A-rep2,-1,22.75,88.52,1.88,MultipleMeltPeaks
56,1,AY37,9A-rep3,-1,22.17,91,1.92,MultipleMeltPeaks
65,19,AY37,10A-rep1,-1,22.68,86.14,1.9,MultipleMeltPeaks
39,37,AY37,10A-rep2,-1,22.93,89.79,1.87,MultipleMeltPeaks
48,55,AY37,10A-rep3,-1,23.23,85.69,1.9,MultipleMeltPeaks
57,1,AY37,11A-rep1,-1,22.87,89.69,1.85,
66,19,AY37,11A-rep2,-1,23.63,89.31,1.97,MultipleMeltPeaks
4,37,AY37,11A-rep3,-1,23.17,86.38,1.92,MultipleMeltPeaks
13,55,AY37,12A-rep1,-1,22.78,86.33,1.91,MultipleMeltPeaks
22,1,AY37,12A-rep2,-1,22.88,90.93,1.87,
31,19,AY37,12A-rep3,-1,23.13,91.1,1.89,MultipleMeltPeaks
5,37,AY37,13A-rep1,-1,23.25,86.21,1.86,MultipleMeltPeaks
14,55,AY37,13A-rep2,-1,23.22,86.31,1.89,MultipleMeltPeaks
23,1,AY37,13A-rep3,-1,23.06,86.33,1.87,MultipleMeltPeaks
32,19,AY37,14A-rep1,-1,22.89,88.49,1.87,MultipleMeltPeaks
6,37,AY37,14A-rep2,-1,23.13,86.48,1.85,
15,55,AY37,14A-rep3,-1,22.83,90.01,1.86,MultipleMeltPeaks
24,1,AY37,15A-rep1,-1,22.19,86.56,1.85,MultipleMeltPeaks
33,19,AY37,15A-rep2,-1,23.2,86.17,1.82,
7,37,AY37,15A-rep3,-1,22.6,89.7,1.86,MultipleMeltPeaks
16,55,AY37,16A-rep1,-1,23.45,90.61,1.88,
25,1,AY37,16A-rep2,-1,24.56,86.67,1.83,MultipleMeltPeaks
34,19,AY37,16A-rep3,-1,24.07,86.13,1.8,"LowEfficiency, MultipleMeltPeaks"
40,37,AY37,17A-rep1,-1,21.05,85.93,1.88,MultipleMeltPeaks
49,55,AY37,17A-rep2,-1,20.86,86.03,1.88,
58,1,AY37,17A-rep3,-1,20.8,86.32,1.9,MultipleMeltPeaks
67,19,AY37,18A-rep1,-1,21.35,86.31,1.88,MultipleMeltPeaks
41,37,AY37,18A-rep2,-1,21.38,86.04,1.84,MultipleMeltPeaks
50,55,AY37,18A-rep3,-1,21.6,87.84,1.86,MultipleMeltPeaks
59,1,AY37,19A-rep1,-1,20.46,86.42,1.92,MultipleMeltPeaks
68,19,AY37,19A-rep2,-1,20.41,90.91,1.9,MultipleMeltPeaks
42,37,AY37,19A-rep3,-1,20.47,86.03,1.87,MultipleMeltPeaks
51,55,AY37,20A-rep1,-1,20.34,86.07,1.85,MultipleMeltPeaks
60,1,AY37,20A-rep2,-1,20.38,89.03,1.9,MultipleMeltPeaks
69,19,AY37,20A-rep3,-1,20.44,86.14,1.93,MultipleMeltPeaks
43,37,AY37,21A-rep1,-1,20.61,90.42,1.87,MultipleMeltPeaks
52,55,AY37,21A-rep2,-1,20.63,85.96,1.84,MultipleMeltPeaks
61,1,AY37,21A-rep3,-1,20.68,91.51,1.89,
70,19,AY37,22A-rep1,-1,20.15,86.15,1.9,MultipleMeltPeaks
8,37,AY37,22A-rep2,-1,20.4,86.1,1.83,MultipleMeltPeaks
17,55,AY37,22A-rep3,-1,20.32,85.98,1.87,MultipleMeltPeaks
26,1,AY37,23A-rep1,-1,22.12,86.6,1.79,LowEfficiency
35,19,AY37,23A-rep2,-1,22.42,86.08,1.72,"LowEfficiency, MultipleMeltPeaks"
44,37,AY37,23A-rep3,-1,22.26,90.5,1.87,MultipleMeltPeaks
53,55,AY37,24A-rep1,-1,21.84,86.02,1.85,MultipleMeltPeaks
62,1,AY37,24A-rep2,-1,21.61,88.9,1.85,MultipleMeltPeaks
71,19,AY37,24A-rep3,-1,21.59,89.34,1.87,MultipleMeltPeaks
0,2,AY46,1A-rep1,-1,18.2,76.49,1.99,
9,20,AY46,1A-rep2,-1,18.11,75.97,1.95,
18,38,AY46,1A-rep3,-1,18.18,79.97,1.94,MultipleMeltPeaks
27,56,AY46,2A-rep1,-1,18.42,82.32,1.76,"LowEfficiency, MultipleMeltPeaks"
1,2,AY46,2A-rep2,-1,18.2,83.04,1.94,
10,20,AY46,2A-rep3,-1,18.32,82.56,1.94,MultipleMeltPeaks
19,38,AY46,3A-rep1,-1,18.47,80.24,1.92,MultipleMeltPeaks
28,56,AY46,3A-rep2,-1,18.38,75.8,2.06,
2,2,AY46,3A-rep3,-1,18.29,82.98,1.9,
11,20,AY46,4A-rep1,-1,18.25,75.95,1.94,
20,38,AY46,4A-rep2,-1,18.15,82.33,1.93,MultipleMeltPeaks
29,56,AY46,4A-rep3,-1,18.26,82.31,1.93,MultipleMeltPeaks
3,2,AY46,5A-rep1,-1,18.12,76.32,1.93,
12,20,AY46,5A-rep2,-1,18.33,75.97,1.93,
21,38,AY46,5A-rep3,-1,18.4,82.35,1.93,MultipleMeltPeaks
30,56,AY46,6A-rep1,-1,18.52,82.32,1.94,MultipleMeltPeaks
36,2,AY46,6A-rep2,-1,18.79,76.13,2.07,
45,20,AY46,6A-rep3,-1,18.69,75.83,1.86,
54,38,AY46,7A-rep1,-1,19.08,80.24,1.94,MultipleMeltPeaks
63,56,AY46,7A-rep2,-1,19.04,82.35,1.94,MultipleMeltPeaks
37,2,AY46,7A-rep3,-1,19.1,76.15,2.06,
46,20,AY46,8A-rep1,-1,19.17,82.39,1.89,MultipleMeltPeaks
55,38,AY46,8A-rep2,-1,19.26,80.39,1.93,MultipleMeltPeaks
64,56,AY46,8A-rep3,-1,19.11,82.34,1.93,MultipleMeltPeaks
38,2,AY46,9A-rep1,-1,19.73,76.19,1.96,
47,20,AY46,9A-rep2,-1,19.7,75.86,1.95,
56,38,AY46,9A-rep3,-1,19.78,82.34,1.94,MultipleMeltPeaks
65,56,AY46,10A-rep1,-1,19.27,75.91,1.93,
39,2,AY46,10A-rep2,-1,19.5,82.65,2.02,
48,20,AY46,10A-rep3,-1,19.27,82.36,1.96,MultipleMeltPeaks
57,38,AY46,11A-rep1,-1,19.6,75.94,1.94,
66,56,AY46,11A-rep2,-1,19.39,80.43,1.94,MultipleMeltPeaks
4,2,AY46,11A-rep3,-1,19.42,82.82,1.91,
13,20,AY46,12A-rep1,-1,19.12,76,1.93,
22,38,AY46,12A-rep2,-1,19.1,75.84,1.9,
31,56,AY46,12A-rep3,-1,19.15,80.4,1.92,MultipleMeltPeaks
5,2,AY46,13A-rep1,-1,18.63,82.84,1.89,
14,20,AY46,13A-rep2,-1,18.74,82.59,1.92,
